case_id,institute,program,degree,season,decision,notification,result_date,undergrad gpa,gre_v,gre_q,gre_w,gre_subject,status,submit_date,notes
545448,The University Of Windsor,Adult Clinical Psychology,PhD,F18,,via E,4 Feb 2018,,,,,,U,4 Feb 2018,"My POI was B.K.
Would you mind sharing your POI's initials? Best of luck!"
545446,University Of Texas At Austin,Department Of Government (Political Science),PhD,F18,,via E,3 Feb 2018,,,,,,,4 Feb 2018,
545445,Ohio State (OSU),Astronomy,PhD,F18,,via Other,4 Feb 2018,,,,,,I,4 Feb 2018,"To the OSU poster below, congratulations. Could you please share your profile, where are you from? I have not heard anything yet. Most probably I think rejection."
545443,Cornell  University,Annenberg School Of Communications,PhD,F18,Rejected,via E,4 Feb 2018,,,,,,A,4 Feb 2018,Not suprised. Got another offer anyway so no loss.
545427,Temple University,Applied Biostatistics,Masters,F18,Accepted,via E,1 Feb 2018,3.82,156.0,167.0,3.5,n/a,I,4 Feb 2018,
545413,"University Of Michigan, Ann Arbor","""Physics""",PhD,F18,Accepted,via E,2 Feb 2018,3.84,161.0,168.0,3.5,940,I,4 Feb 2018,
545408,Ohio State University,Applied Math (Operations Research),Masters,F18,Accepted,via Website,1 Feb 2018,,,,,,A,4 Feb 2018,
545407,Villanova University,Applied Statistics,Masters,F18,Accepted,via Website,31 Jan 2018,,,,,,A,4 Feb 2018,
545406,"Ohio State University (OSU), Columbus",Astronomy,PhD,F18,Accepted,via E,20 Jan 2018,3.87,164.0,168.0,5.0,950,I,4 Feb 2018,
545404,The University Of Arizona,Sociology,PhD,F18,,via Other,4 Feb 2018,,,,,,,4 Feb 2018,To the admitted applicants posted below: How were you notified? When will the official results come out? Thanks!
545401,"University Of Michigan, Ann Arbor",Information Sciences,PhD,F18,,via E,4 Feb 2018,,,,,,A,4 Feb 2018,"To the person below asking about when to expect to hear from the achooly:

Recieved email this afternoon (2/4/17) to keep an eye out for official admissions letters, which are,  evidently, being mailed out next week."
545395,University Of Texas At Austin,(Computer Science - Machine Learning),PhD,F18,Accepted,via E,26 Jan 2018,,,,,,A,4 Feb 2018,
545388,School Of The Art Insitute Of Chicago (SAIC),"Teaching,  MAT",Masters,F18,,via E,1 Feb 2018,,,,,,U,4 Feb 2018,Excited to move to the interviewing stage!
545387,"Courant Institute Of Mathematical Sciences, NYU",(Applied Mathematics),PhD,F18,Accepted,via E,2 Feb 2018,,,,,,I,4 Feb 2018,emmmmm...
545384,(Arizona State University) ASU Tempe,Computer Science,Masters,F18,Accepted,via E,20 Dec 2017,3.70,148.0,166.0,4.5,n/a,I,4 Feb 2018,"Applied on Nov 29, got the admit on Dec 20 for MSCS"
545381,Penn State University,Department Of Public Administration,PhD,F18,,via E,30 Jan 2018,,,,,,U,4 Feb 2018,
545380,The University Of Arkansas  - Fayetteville,Education - Education Policy,PhD,F18,Accepted,via E,30 Jan 2018,,,,,,U,4 Feb 2018,
545377,North Carolina Sate University (NCSU),Adv. Materials Science And Engineering,PhD,F18,Accepted,via E,31 Jan 2018,,,,,,A,4 Feb 2018,
545376,Northwestern University,African American Studies,PhD,F18,Rejected,via E,4 Feb 2018,,,,,,A,4 Feb 2018,Email to check portal
545373,The University Of Arizona,Lunar And Planetary Laboratory,PhD,F18,,via Phone,31 Jan 2018,,,,,,A,4 Feb 2018,"Interview over skype, was told it would be a few more weeks until decisions are made"
545364,U Of Wisconsin--Madison,Business Administration - Marketing (CB),PhD,F18,Rejected,via Other,4 Feb 2018,,,,,,I,4 Feb 2018,interviewed on 1/25. emailed to ask results and was then directed to the website on 2/3.
545362,University Of Texas At Austin,Communication Studies,PhD,F18,Accepted,via E,26 Jan 2018,,,,,,I,4 Feb 2018,
545358,TU Delft,Aerospace Engg,Masters,F18,Accepted,via E,2 Feb 2018,,,,,,I,4 Feb 2018,
545356,Auburn University,Clinical Psychology,PhD,F18,,via Other,4 Feb 2018,,,,,,,4 Feb 2018,Hi! Do any of the Auburn posters know when the alternate interview day is scheduled? Can you also post POI initials? Thanks!
