attraction,keywords
17-Mile Drive,"['pebble beach', 'golf courses', 'well worth', 'golf course', 'beach golf']"
AT&T Park,"['baseball game', 'giants game', 'ball game', 'garlic fries', 'baseball fan']"
Alamo Square,"['painted ladies', 'full house', 'must see', 'victorian houses', 'walk around']"
Alcatraz Island,"['audio tour', 'guided tour', 'must see', 'make sure', 'well worth']"
Angel Stadium of Anaheim,"['baseball game', 'first time', 'angels game', 'food options', 'even though']"
Aquarium of the Bay,"['sea life', 'marine life', 'river otters', 'gift shop', 'year old']"
Aquarium of the Pacific,"['jelly fish', 'sea life', 'scenes tour', 'sea lions', 'gift shop']"
Armstrong Redwood State Reserve,"['muir woods', 'visitor center', 'parking lot', 'well worth', 'must see']"
Artist's Drive,"['death valley', 'artists palette', 'rock formations', 'national park', 'well worth']"
Asian Art Museum,"['civic center', 'gift shop', 'permanent collection', 'tomb treasures', 'highly recommend']"
Badwater,"['sea level', 'death valley', 'lowest point', 'salt flats', 'north america']"
Balboa Island,"['walk around', 'main street', 'newport beach', 'frozen banana', 'frozen bananas']"
Balboa Island Ferry,"['newport beach', 'fun zone', 'per person', 'newport peninsula', 'boat ride']"
Balboa Park,"['walk around', 'must see', 'walking around', 'japanese garden', 'spanish village']"
Battleship USS Iowa BB-61,"['guided tour', 'self guided', 'must see', 'well worth', 'highly recommend']"
Birch Aquarium at Scripps,"['la jolla', 'sea horses', 'sea life', 'tide pools', 'gift shop']"
Bixby Bridge,"['big sur', 'must see', 'north side', 'take pictures', 'pacific coast']"
Bridalveil Falls,"['parking lot', 'short walk', 'get wet', 'short hike', 'well worth']"
Cable Car Museum,"['gift shop', 'well worth', 'must see', 'system works', 'actual cables']"
Cabrillo National Monument,"['tide pools', 'point loma', 'light house', 'pacific ocean', 'tidal pools']"
Calico Ghost Town,"['train ride', 'mine tour', 'old west', 'per person', 'las vegas']"
California Academy of Sciences,"['rain forest', 'natural history', 'golden gate', 'gate park', 'albino alligator']"
California Science Center,"['space shuttle', 'shuttle endeavor', 'shuttle endeavour', 'must see', 'body worlds']"
California State Capitol Museum,"['tour guide', 'guided tour', 'walk around', 'must see', 'highly recommend']"
California State Railroad Museum,"['old sacramento', 'old town', 'toy trains', 'must see', 'gift shop']"
Cannery Row,"['monterey bay', 'walk around', 'tourist trap', 'gift shops', 'shops restaurants']"
Carmel River State Beach,"['white sand', 'dog friendly', 'must see', 'ocean ave', 'white sands']"
Castello di Amorosa,"['wine tasting', 'guided tour', 'napa valley', 'tour guide', 'highly recommend']"
Children's Pool,"['sea lions', 'la jolla', 'sea wall', 'pupping season', 'jolla cove']"
Chinatown,"['china town', 'new year', 'dim sum', 'chinese new', 'fortune cookies']"
Citadel Outlets,"['outlet mall', 'food court', 'customer service', 'downtown la', 'make sure']"
Coit Tower,"['telegraph hill', 'golden gate', 'well worth', 'gate bridge', 'clear day']"
Coronado Bridge,"['hotel del', 'downtown san', 'diego bay', 'must see', 'golden gate']"
Coronado Island,"['hotel del', 'must see', 'ferry landing', 'downtown san', 'orange ave']"
Crissy Field,"['golden gate', 'gate bridge', 'warming hut', 'fort point', 'sunny day']"
Crystal Cove State Park,"['tide pools', 'laguna beach', 'beachcomber restaurant', 'orange county', 'parking lot']"
