attraction,address,rating,types,place_id,lat,lng,reviews,reviews_count
Alcatraz Island,"San Francisco, CA 94133, USA",4.7,"['natural_feature', 'point_of_interest', 'establishment']",ChIJmRyMs_mAhYARpViaf6JEWNE,37.8269775,-122.4229555,,45972
Golden Gate Bridge,"Golden Gate Bridge, San Francisco, CA, USA",4.7,"['point_of_interest', 'establishment']",ChIJw____96GhYARCVVwg5cT7c0,37.8199286,-122.4782551,,41435
AT&T Park,"24 Willie Mays Plaza, San Francisco, CA 94107, USA",4.7,"['stadium', 'point_of_interest', 'establishment']",ChIJ_T25cNd_j4ARehGmHe0pT84,37.7785951,-122.3892698,,6184
San Francisco Bay,"California, USA",4.7,"['natural_feature', 'establishment']",ChIJBwohpl6bj4AREMlJ8U8PlaI,37.6909682,-122.3107517,,6827
Golden Gate Park,"San Francisco, CA, USA",4.7,"['park', 'point_of_interest', 'establishment']",ChIJY_dFYHKHhYARMKc772iLvnE,37.7694208,-122.4862138,,8306
Exploratorium,"Pier 15 The Embarcadero, San Francisco, CA 94111, USA",4.7,"['museum', 'point_of_interest', 'establishment']",ChIJk2vl5NSGhYARwPGvs_ubIws,37.801542,-122.397484,,2986
Palace of Fine Arts Theatre,"3301 Lyon St, San Francisco, CA 94123, USA",4.7,"['point_of_interest', 'establishment']",ChIJRb6WFtWGhYARLN9EOlXR2JI,37.8029577,-122.4491929,,3972
California Academy of Sciences,"55 Music Concourse Dr, San Francisco, CA 94118, USA",4.5,"['aquarium', 'museum', 'point_of_interest', 'establishment']",ChIJIUT7rEOHhYARucp3wM-HhBs,37.7698646,-122.4660947,,5228
Walt Disney Family Museum,"104 Montgomery St, San Francisco, CA 94129, USA",4.6,"['museum', 'point_of_interest', 'establishment']",ChIJ5f7ZKtiGhYAR9WaYFS6bH1U,37.80145479999999,-122.4586558,,2386
Cable Car Museum,"1201 Mason St, San Francisco, CA 94108, USA",4.6,"['museum', 'point_of_interest', 'establishment']",ChIJX1oMlvKAhYARNZquwetszd8,37.7947043,-122.4117199,,3200
Ferry Building Marketplace,"One Ferry Building, San Francisco, CA 94111, USA",4.5,"['point_of_interest', 'establishment']",ChIJWTGPjmaAhYARxz6l1hOj92w,37.7954662,-122.3936545,,5958
Asian Art Museum,"200 Larkin St, San Francisco, CA 94102, USA",4.5,"['museum', 'point_of_interest', 'establishment']",ChIJkQQVTZqAhYARHxPt2iJkm1Q,37.7801637,-122.4161985,,1369
Lombard Street,"San Francisco, CA, USA",0.0,['route'],ChIJl62Bq92AhYARrLLC3ZcLL8Q,37.8010834,-122.4267887,,13461
Pier 39,"Beach St & The Embarcadero, San Francisco, CA 94133, USA",4.5,"['shopping_mall', 'premise', 'point_of_interest', 'establishment']",ChIJHSGzi_yAhYARnrPmDWAx9ro,37.80867300000001,-122.409821,,16927
Legion of Honor,"100 34th Ave, San Francisco, CA 94121, USA",4.6,"['museum', 'point_of_interest', 'establishment']",ChIJabri1qyHhYARLE0Vd4zY_7k,37.7844661,-122.5008419,,1801
Musee Mecanique,"45 Sausalito - San Francisco Pier 41, San Francisco, CA 94133, USA",4.6,"['museum', 'electronics_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",ChIJCQAzVOKAhYARuOpiALmomu0,37.8093405,-122.4160609,,2406
San Francisco Museum of Modern Art (SFMOMA),"151 3rd St, San Francisco, CA 94103, USA",4.7,"['art_gallery', 'museum', 'point_of_interest', 'establishment']",ChIJ53I1Yn2AhYAR_Vl1vNygfMg,37.7857182,-122.4010508,,1497
Presidio of San Francisco,"San Francisco, CA, USA",0.0,"['neighborhood', 'political']",ChIJmxVaCN-GhYARYH--_Fayr7Q,37.7988737,-122.4661937,,1500
de Young Museum,"50 Hagiwara Tea Garden Dr, San Francisco, CA 94118, USA",4.5,"['museum', 'point_of_interest', 'establishment']",ChIJI7NivpmAhYARSuRPlbbn_2w,37.771469,-122.4686755,,1850
Fort Point National Historic Site,"Long Ave & Marine Dr, San Francisco, CA 94129, USA",4.7,"['point_of_interest', 'establishment']",ChIJ_fRRLeqGhYAROWsCl5027X8,37.8106185,-122.4770527,,891
Coit Tower,"1 Telegraph Hill Blvd, San Francisco, CA 94133, USA",4.4,"['point_of_interest', 'establishment']",ChIJAQAAQIyAhYARRN3yIQG4hd4,37.8023949,-122.4058222,,3929
Baker Beach,"San Francisco, CA, USA",4.7,"['natural_feature', 'establishment']",ChIJp_hAi_yGhYARGdXAfU1rPYs,37.7935724,-122.483638,,732
Fisherman's Wharf,"San Francisco, CA, USA",0.0,"['neighborhood', 'political']",ChIJueOuefqAhYARapAU-YtbztA,37.8079996,-122.4177434,,15234
Angel Island State Park,"Tiburon, CA 94920, USA",4.1,"['natural_feature', 'establishment']",ChIJ1Rtu3uyDhYARYkTv738oYhk,37.860909,-122.4325682,,825
Crissy Field,"San Francisco, CA 94129, USA",4.6,"['park', 'point_of_interest', 'establishment']",ChIJVbMlhdyGhYARADaqASKRFVs,37.8040257,-122.4650165,,1262
Golden Gate Promenade,"San Francisco, CA 94129, USA",0.0,['route'],ChIJJ8mfhtqGhYARoWJCNTeTcWk,37.8050136,-122.4584122,,491
Grace Cathedral,"1100 California St, San Francisco, CA 94108, USA",4.5,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",ChIJg2Kun5KAhYARg0g3AF1jbQQ,37.7918581,-122.4134328,,1069
San Francisco City Hall,"1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA",4.4,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']",ChIJY-bqepmAhYARSk9Xg_9tcLI,37.7792597,-122.4192646,,800
Filbert Steps,"San Francisco, CA, USA",0.0,['route'],ChIJX1vwTt2AhYARc7eF3hUwPrM,37.7995077,-122.4241083,,456
San Francisco Botanical Garden,"1199 9th Ave, San Francisco, CA 94122, USA",4.7,"['museum', 'park', 'point_of_interest', 'establishment']",ChIJW5w2V2iHhYARQoOl_ZsQlOg,37.7671764,-122.467496,,718
Japanese Tea Garden,"75 Hagiwara Tea Garden Dr, San Francisco, CA CA 94118, USA",4.3,"['park', 'point_of_interest', 'establishment']",ChIJhVvouY-AhYARt6oYQBabsr8,37.7700914,-122.470436,,2925
San Francisco Bay Bridge,"San Francisco – Oakland Bay Bridge, San Francisco, CA, USA",4.4,"['point_of_interest', 'establishment']",ChIJ8yqBQBOAhYARU-WeAqu8_K4,37.7982799,-122.3778182,,1573
