attraction,url
Golden Gate Bridge,https://www.tripadvisor.com/Attraction_Review-g60713-d104675-Reviews-Golden_Gate_Bridge-San_Francisco_California.html
Alcatraz Island,https://www.tripadvisor.com/Attraction_Review-g60713-d102523-Reviews-Alcatraz_Island-San_Francisco_California.html
Cable Cars,https://www.tripadvisor.com/Attraction_Review-g60713-d104821-Reviews-Cable_Cars-San_Francisco_California.html
Lombard Street,https://www.tripadvisor.com/Attraction_Review-g60713-d106232-Reviews-Lombard_Street-San_Francisco_California.html
Pier 39,https://www.tripadvisor.com/Attraction_Review-g60713-d102779-Reviews-Pier_39-San_Francisco_California.html
Anchor Brewing Company,https://www.tripadvisor.com/Attraction_Review-g60713-d1009199-Reviews-Anchor_Brewing_Company-San_Francisco_California.html
Fisherman's Wharf,https://www.tripadvisor.com/Attraction_Review-g60713-d108678-Reviews-Fisherman_s_Wharf-San_Francisco_California.html
Lands End,https://www.tripadvisor.com/Attraction_Review-g60713-d117409-Reviews-Lands_End-San_Francisco_California.html
AT&T Park,https://www.tripadvisor.com/Attraction_Review-g60713-d557330-Reviews-AT_T_Park-San_Francisco_California.html
San Francisco Bay,https://www.tripadvisor.com/Attraction_Review-g60713-d106745-Reviews-San_Francisco_Bay-San_Francisco_California.html
San Francisco Symphony,https://www.tripadvisor.com/Attraction_Review-g60713-d142413-Reviews-San_Francisco_Symphony-San_Francisco_California.html
Exploratorium,https://www.tripadvisor.com/Attraction_Review-g60713-d102775-Reviews-Exploratorium-San_Francisco_California.html
Asian Art Museum,https://www.tripadvisor.com/Attraction_Review-g60713-d103857-Reviews-Asian_Art_Museum-San_Francisco_California.html
Palace of Fine Arts Theatre,https://www.tripadvisor.com/Attraction_Review-g60713-d104538-Reviews-Palace_of_Fine_Arts_Theatre-San_Francisco_California.html
Walt Disney Family Museum,https://www.tripadvisor.com/Attraction_Review-g60713-d1556974-Reviews-Walt_Disney_Family_Museum-San_Francisco_California.html
Golden Gate Park,https://www.tripadvisor.com/Attraction_Review-g60713-d311684-Reviews-Golden_Gate_Park-San_Francisco_California.html
San Francisco Opera,https://www.tripadvisor.com/Attraction_Review-g60713-d142412-Reviews-San_Francisco_Opera-San_Francisco_California.html
Golden Gate Promenade,https://www.tripadvisor.com/Attraction_Review-g60713-d156469-Reviews-Golden_Gate_Promenade-San_Francisco_California.html
Twin Peaks,https://www.tripadvisor.com/Attraction_Review-g60713-d105363-Reviews-Twin_Peaks-San_Francisco_California.html
San Francisco Museum of Modern Art (SFMOMA),https://www.tripadvisor.com/Attraction_Review-g60713-d105418-Reviews-San_Francisco_Museum_of_Modern_Art_SFMOMA-San_Francisco_California.html
Baker Beach,https://www.tripadvisor.com/Attraction_Review-g60713-d754023-Reviews-Baker_Beach-San_Francisco_California.html
Legion of Honor,https://www.tripadvisor.com/Attraction_Review-g60713-d156333-Reviews-Legion_of_Honor-San_Francisco_California.html
Fort Point National Historic Site,https://www.tripadvisor.com/Attraction_Review-g60713-d143136-Reviews-Fort_Point_National_Historic_Site-San_Francisco_California.html
Cable Car Museum,https://www.tripadvisor.com/Attraction_Review-g60713-d104939-Reviews-Cable_Car_Museum-San_Francisco_California.html
Presidio of San Francisco,https://www.tripadvisor.com/Attraction_Review-g60713-d128930-Reviews-Presidio_of_San_Francisco-San_Francisco_California.html
Filbert Steps,https://www.tripadvisor.com/Attraction_Review-g60713-d142463-Reviews-Filbert_Steps-San_Francisco_California.html
Scenic 49 Mile Drive,https://www.tripadvisor.com/Attraction_Review-g60713-d526082-Reviews-Scenic_49_Mile_Drive-San_Francisco_California.html
16 Avenue Tiled Steps,https://www.tripadvisor.com/Attraction_Review-g60713-d3440316-Reviews-16_Avenue_Tiled_Steps-San_Francisco_California.html
California Academy of Sciences,https://www.tripadvisor.com/Attraction_Review-g60713-d117078-Reviews-California_Academy_of_Sciences-San_Francisco_California.html
Angel Island State Park,https://www.tripadvisor.com/Attraction_Review-g60713-d208341-Reviews-Angel_Island_State_Park-San_Francisco_California.html
Musee Mecanique,https://www.tripadvisor.com/Attraction_Review-g60713-d104542-Reviews-Musee_Mecanique-San_Francisco_California.html
Ferry Plaza Farmer's Market,https://www.tripadvisor.com/Attraction_Review-g60713-d282299-Reviews-Ferry_Plaza_Farmer_s_Market-San_Francisco_California.html
San Francisco Botanical Garden,https://www.tripadvisor.com/Attraction_Review-g60713-d104952-Reviews-San_Francisco_Botanical_Garden-San_Francisco_California.html
San Francisco City Hall,https://www.tripadvisor.com/Attraction_Review-g60713-d144407-Reviews-San_Francisco_City_Hall-San_Francisco_California.html
Crissy Field,https://www.tripadvisor.com/Attraction_Review-g60713-d144990-Reviews-Crissy_Field-San_Francisco_California.html
Mission Dolores Park,https://www.tripadvisor.com/Attraction_Review-g60713-d545911-Reviews-Mission_Dolores_Park-San_Francisco_California.html
de Young Museum,https://www.tripadvisor.com/Attraction_Review-g60713-d127943-Reviews-De_Young_Museum-San_Francisco_California.html
Grace Cathedral,https://www.tripadvisor.com/Attraction_Review-g60713-d116450-Reviews-Grace_Cathedral-San_Francisco_California.html
San Francisco Maritime National Historical Park,https://www.tripadvisor.com/Attraction_Review-g60713-d104217-Reviews-San_Francisco_Maritime_National_Historical_Park-San_Francisco_California.html
